Dataset identifier;Federated dataset;Title;Description;Themes;Keywords;License;Language;Timezone;Modified;Data processed;Metadata processed;Creator;Reference;Attributions;Update frequency;Number of records;Size of records in the dataset (in bytes);Reuse count;API call count;Download count;Attachments download count;File fields download count;Popularity score
estadisticas-web-navegadores-explorer-historico-xi-legislatura;False;Estadisticas web - Navegadores explorer - Historico XI Legislatura;"<p><span style=""font-size: 12.495px;"">Información sobre la versión de Internet Explorer utilizada para navegar por cada sitio web. Actualización diaria.</span></p>";Sector público;estadísticas;CC BY 4.0 ES;es;Europe/Madrid;2026-09-01T12:40:05.736000+02:00;2026-09-01T12:40:05.736000+02:00;2026-09-01T12:40:30.067000+02:00;Junta de Castilla y León;;;;14359;741105;0;100;5;0;0;0.4
actuaciones-del-pacto-para-la-recuperacion-economica-el-empleo-y-la-cohesion-soc;False;Actuaciones del Pacto para la Recuperación Económica, el Empleo y la Cohesión Social;"<p><span style=""font-size: 12.495px;"">Actuaciones asociadas a cada uno de las 86 medidas del Pacto para la Recuperación Económica, el Empleo y la Cohesión Social.</span></p><p><span style=""font-size: 12.495px;"">En cada actuación se indica a qué compromiso pertenece, su descripción y los enlaces o documentos que completen dicha información.</span></p>";"Economía;Empleo;Sociedad y bienestar";"administración pública;coronavirus;COVID-19;actuaciones;pacto recuperación económica";CC BY 4.0 ES;es;Europe/Madrid;2026-09-01T10:06:15.177000+02:00;2026-09-01T10:06:15.177000+02:00;2026-09-01T10:06:15.228000+02:00;Junta de Castilla y León;;;;310;354334;0;20241;1705;0;0;6.8
registrocooperativas;False;Registro de cooperativas;<p>Relación de las cooperativas constituidas en la Comunidad Autónoma desde la entrada en vigor de la Ley 4/2002, o de fecha anterior y que tienen adaptados sus estatutos a la referida Ley.<br></p>;Economía;"sociedades;cooperativas;registro;economía social";CC BY 4.0 ES;es;Europe/Madrid;2026-09-01T10:05:30.644000+02:00;2026-09-01T10:05:30.644000+02:00;2026-09-24T10:01:39.302000+02:00;Junta de Castilla y León;;;;2305;384632;0;86209;4355;0;0;13.0
datos-diarios-de-calidad-del-aire;False;Datos diarios de calidad del aire;"<p>Datos de concentración de contaminantes diarios registrados en las estaciones de control de la calidad del aire de la Junta de Castilla y León desde el año 1997 hasta el año 2025</p><p class=""MsoNormal"">Los datos de las distintas estaciones de calidad del aire de CyL se pueden
visualizar desde el enlace: <a href=""http://servicios.jcyl.es/esco/index.action"">http://servicios.jcyl.es/esco/index.action</a>.
Desde ese enlace se pueden consultar los datos en tiempo real, es decir, los
valores que se están registrando hoy y los datos históricos.</p>";Medio ambiente;"calidad del aire;medio ambiente;atmosfera;contaminación";CC BY 4.0 ES;es;Europe/Madrid;2026-08-31T14:20:17.857000+02:00;2026-08-31T14:20:17.857000+02:00;2026-09-24T14:20:24.791000+02:00;Junta de Castilla y León;;;;8658;845366;0;578;18;0;0;1.0
establecimientos-comerciales;False;Establecimientos comerciales en Castilla y León;<p>Relación de establecimientos comerciales situados en Castilla y León.</p><p>La información se presenta agrupada en columnas: número de registro de actividad, titular, nombre comercial, dirección código postal, población, municipio, provincia, código de provincia, código de municipio, código de población, C.N.A.E., sector comercial, teléfono, móvil, correo electrónico, página web, latitud, longitud, posición geométrica y número de habitantes.</p><p>Frecuencia de actualización: continua.</p>;"Comercio;Economía";"comercio;pequeño comercio";CC BY 4.0 ES;es;Europe/Madrid;2026-08-28T12:25:21.546000+02:00;2026-08-28T12:25:21.546000+02:00;2026-09-24T23:25:29.102000+02:00;Junta de Castilla y León;;;;24192;9328540;0;540803;3446;0;0;26.8
estadisticas-web-visitas-historico;False;Estadísticas web - Visitas - Historico XI Legislatura;<p>Información sobre el número de visitas, usuarios únicos, páginas vistas, porcentaje de rebote, duración de la sesión, páginas por sesión, usuarios nuevos ,porcentaje de salidas y porcentaje de nuevas sesiones por sitio web. Actualización diaria.</p>;Sector público;estadísticas;CC BY 4.0 ES;es;Europe/Madrid;2026-08-28T09:06:54.546000+02:00;2026-08-28T09:06:54.546000+02:00;2026-08-28T09:06:54.603000+02:00;Junta de Castilla y León;;;;63698;8104641;0;170;6;0;0;0.6
estadisticas-web-navegadores-historico-xi-legislatura;False;Estadisticas web - Navegadores - Historico XI Legislatura;"<p><span style=""font-size: 12.495px;"">Información sobre los navegadores empleados para navegar por cada sitio web. Actualización diaria.</span></p>";Sector público;estadísticas;CC BY 4.0 ES;es;Europe/Madrid;2026-08-25T10:47:34.985000+02:00;2026-08-25T10:47:34.985000+02:00;2026-08-25T10:47:35.026000+02:00;Junta de Castilla y León;;;;828367;63114706;0;241;224;0;0;1.3
estadisticas-web-sistemas-operativos-windows-historico-xi-legislatura;False;Estadisticas web - Sistemas operativos Windows - Historico XI Legislatura;<p>Información sobre la versión de windows utilizada para navegar por cada sitio web. Actualización diaria.</p>;Sector público;estadísticas;CC BY 4.0 ES;es;Europe/Madrid;2026-08-25T10:47:09.113000+02:00;2026-08-25T10:47:09.113000+02:00;2026-08-25T10:47:09.156000+02:00;Junta de Castilla y León;;;;194387;12158639;0;242;10;0;0;0.7
estadisticas-web-dispositivos-historico-xi-legislatura;False;Estadisticas web - Dispositivos - Historico XI Legislatura;<p>Información sobre el número de sesiones por dispositivos utilizados para navegar por sitio web. Actualización diaria.</p>;Sector público;estadísticas;CC BY 4.0 ES;es;;2026-08-25T10:47:01.680000+02:00;2026-08-25T10:47:01.680000+02:00;2026-08-25T10:47:01.728000+02:00;Junta de Castilla y León;;;;256224;22426682;0;244;13;0;0;0.7
estadisticas-web-paginas-historico-xi-legislatura;False;Estadísticas web - Páginas - Historico XI Legislatura;<p>Información sobre las páginas mas visitadas de cada sitio web siempre limitando a todas aquellas que tengan mas de 100 páginas vistas al día. Actualización diaria.</p><p><br></p>;Sector público;estadísticas;CC BY 4.0 ES;es;Europe/Madrid;2026-08-25T10:43:41.361000+02:00;2026-08-25T10:43:41.361000+02:00;2026-08-25T10:43:41.405000+02:00;Junta de Castilla y León;;;;210877;33592461;0;210;13;0;0;0.7
bienes-inmuebles-cedidos-a-terceros;False;Bienes inmuebles cedidos a terceros;"<p><span style=""font-size: 12.495px;"">Relación de bienes inmuebles propiedad de </span><span style=""font-size: 12.495px;""><span style=""font-size: 12.495px;"">la Administración General de la Comunidad de Castilla y León y sus Organismos Autónomos </span>cedidos a terceros por cualquier título, la persona o entidad cesionaria y el uso al que se destina el inmueble.</span></p><p><span style=""font-size: 12.495px;"">Actualización anual. </span><span style=""font-size: 12.495px;""><span style=""font-size: 12.495px;"">Los datos se recopilan una vez finalizado el año.</span></span></p>";Sector público;"bienes inmuebles;información patrimonial";CC BY 4.0 ES;es;Europe/Madrid;2026-08-24T11:14:52.394000+02:00;2026-08-24T11:14:52.394000+02:00;2026-08-24T11:14:52.436000+02:00;Junta de Castilla y León;;;;2316;403082;0;15459;778;0;0;5.5
